model,balancing,threshold,accuracy,precision,recall,f1_score,roc_auc
LightGBM,RandomUnderSampler,0.3,0.37442232898650196,0.10644183901989197,0.9384436701509872,0.1911973497397066,0.772500487899487
XGBoost,RandomUnderSampler,0.7,0.903317318691375,0.3699268130405855,0.3228803716608595,0.3448062015503876,0.7708844055786279
XGBoost,RandomUnderSampler,0.5,0.699336536261725,0.16442906574394464,0.6898954703832753,0.2655638761596066,0.7708844055786279
XGBoost,RandomUnderSampler,0.3,0.3682910089224434,0.10530441599163835,0.9361207897793263,0.18931297709923664,0.7708844055786279
RandomForest,RandomUnderSampler,0.7,0.9204301075268817,0.4891994917407878,0.22357723577235772,0.30689517736149863,0.7706667328929288
RandomForest,RandomUnderSampler,0.5,0.67654998856097,0.15675953267428425,0.7090592334494773,0.2567553359268216,0.7706667328929288
RandomForest,RandomUnderSampler,0.3,0.2604895904827271,0.09401709401709402,0.9709639953542393,0.17143443043166207,0.7706667328929288
RandomForest,None,0.7,0.9229466941203386,1.0,0.022067363530778164,0.04318181818181818,0.7663959466297092
RandomForest,None,0.5,0.9282544040265386,0.9375,0.09581881533101046,0.17386722866174922,0.7663959466297092
RandomForest,None,0.3,0.9284374285060627,0.708994708994709,0.15563298490127758,0.25523809523809526,0.7663959466297092
GradientBoosting,SVMSMOTE,0.3,0.8821779913063372,0.29853566367501183,0.3670150987224158,0.32925240948163587,0.7658813085778643
GradientBoosting,SVMSMOTE,0.5,0.9198810340883093,0.48180677540777916,0.2229965156794425,0.30488289003572844,0.7658813085778643
GradientBoosting,SVMSMOTE,0.7,0.9258750857927248,0.6075949367088608,0.1672473867595819,0.26229508196721313,0.7658813085778643
LightGBM,SVMSMOTE,0.5,0.9196522534889041,0.479064039408867,0.2259001161440186,0.30702446724546173,0.7655351927106344
LightGBM,SVMSMOTE,0.7,0.9265156714710593,0.6283185840707964,0.16492450638792103,0.2612695492180313,0.7655351927106344
LightGBM,SVMSMOTE,0.3,0.8697780828185769,0.2762738853503185,0.40301974448315914,0.3278223901747756,0.7655351927106344
GradientBoosting,BorderlineSMOTE,0.3,0.8284603065660032,0.22762698199408762,0.491869918699187,0.3112254271541429,0.7655060312337589
GradientBoosting,BorderlineSMOTE,0.7,0.9286662091054678,0.8007380073800738,0.12601626016260162,0.21776216758655292,0.7655060312337589
GradientBoosting,BorderlineSMOTE,0.5,0.918188057652711,0.46397379912663755,0.24680603948896632,0.32221379833206976,0.7655060312337589
XGBoost,SMOTEENN,0.7,0.9226264012811713,0.5228276877761414,0.20615563298490128,0.29571012078300707,0.7648406678630084
XGBoost,SMOTEENN,0.5,0.8704186684969114,0.27602905569007263,0.397212543554007,0.32571428571428573,0.7648406678630084
XGBoost,SMOTEENN,0.3,0.7015785861358956,0.16358284272497897,0.6777003484320557,0.26355013550135503,0.7648406678630084
RandomForest,EditedNearestNeighbours,0.7,0.9260123541523679,0.92,0.06678281068524972,0.12452625879805089,0.764743217764468
RandomForest,EditedNearestNeighbours,0.5,0.9279341111873713,0.7712177121771218,0.12137049941927991,0.20973406924234822,0.764743217764468
RandomForest,EditedNearestNeighbours,0.3,0.9261496225120109,0.5989010989010989,0.18989547038327526,0.28835978835978837,0.764743217764468
GradientBoosting,SMOTEENN,0.5,0.8830473575840768,0.3016175071360609,0.3681765389082462,0.33158995815899583,0.7646796451679951
GradientBoosting,SMOTEENN,0.3,0.7368107984442919,0.17770313499680102,0.6451800232288037,0.2786556308001003,0.7646796451679951
GradientBoosting,SMOTEENN,0.7,0.9236330359185541,0.5430894308943089,0.19396051103368175,0.2858365425759521,0.7646796451679951
LightGBM,BorderlineSMOTE,0.7,0.9283916723861817,0.760797342192691,0.1329849012775842,0.2263964409293129,0.76448866778086
LightGBM,BorderlineSMOTE,0.5,0.9134751773049645,0.42065727699530514,0.2601626016260163,0.3214926444205239,0.76448866778086
LightGBM,BorderlineSMOTE,0.3,0.8155570807595516,0.21724222385500858,0.5150987224157956,0.30559862187769166,0.76448866778086
XGBoost,SVMSMOTE,0.7,0.9258293296728437,0.605427974947808,0.16840882694541232,0.26351658337119493,0.7641567432554927
XGBoost,SVMSMOTE,0.5,0.9180050331731869,0.45958429561200925,0.2311265969802555,0.3075734157650695,0.7641567432554927
XGBoost,SVMSMOTE,0.3,0.853809196980096,0.2522704339051463,0.4355400696864111,0.3194888178913738,0.7641567432554927
RandomForest,TomekLinks,0.5,0.9284831846259437,0.9206349206349206,0.10104529616724739,0.18210361067503925,0.7639810244452787
RandomForest,TomekLinks,0.7,0.9236787920384352,1.0,0.0313588850174216,0.060810810810810814,0.7639810244452787
RandomForest,TomekLinks,0.3,0.9283459162663006,0.7041884816753927,0.1562137049941928,0.25570342205323193,0.7639810244452787
GradientBoosting,ADASYN,0.5,0.9226264012811713,0.521923620933522,0.21428571428571427,0.3038287361053932,0.7632836440227655
GradientBoosting,ADASYN,0.3,0.8393960192175703,0.23550295857988165,0.462253193960511,0.3120344962759702,0.7632836440227655
GradientBoosting,ADASYN,0.7,0.9277510867078472,0.8950276243093923,0.09407665505226481,0.17025748817656333,0.7632836440227655
XGBoost,ADASYN,0.5,0.9190574239304506,0.47218934911242605,0.23170731707317074,0.31086871834826646,0.7624804054201004
XGBoost,ADASYN,0.3,0.8042095630290551,0.20696768278707312,0.524390243902439,0.29679539852095316,0.7624804054201004
XGBoost,ADASYN,0.7,0.9283916723861817,0.852017937219731,0.11033681765389082,0.1953727506426735,0.7624804054201004
LightGBM,SMOTEENN,0.3,0.7228551818805765,0.16994061215166742,0.6480836236933798,0.2692725298588491,0.7620485213515951
LightGBM,SMOTEENN,0.5,0.87920384351407,0.28944954128440364,0.36643437862950057,0.32342388518708354,0.7620485213515951
LightGBM,SMOTEENN,0.7,0.9236787920384352,0.5420560747663551,0.20209059233449478,0.29441624365482233,0.7620485213515951
XGBoost,SMOTE,0.3,0.8129947380462137,0.21416485375876237,0.5145180023228804,0.3024406895374637,0.7616178054728159
XGBoost,SMOTE,0.5,0.9159002516586593,0.43842887473460723,0.23983739837398374,0.31006006006006004,0.7616178054728159
XGBoost,SMOTE,0.7,0.9291237703042782,0.8056537102473498,0.13240418118466898,0.22743142144638404,0.7616178054728159
XGBoost,BorderlineSMOTE,0.5,0.9111873713109129,0.40335392762577227,0.2653890824622532,0.32014010507880913,0.7612506477684144
XGBoost,BorderlineSMOTE,0.7,0.9284374285060627,0.7548387096774194,0.13588850174216027,0.23031496062992127,0.7612506477684144
XGBoost,BorderlineSMOTE,0.3,0.8136353237245482,0.21558190176627148,0.5174216027874564,0.30435525192143464,0.7612506477684144
LightGBM,ADASYN,0.3,0.8299245024021963,0.22406639004149378,0.47038327526132406,0.30354131534569984,0.7604059167973164
LightGBM,ADASYN,0.7,0.9277053305879661,0.8622448979591837,0.09814169570267131,0.1762252346193952,0.7604059167973164
LightGBM,ADASYN,0.5,0.922168840082361,0.5145228215767634,0.21602787456445993,0.3042944785276074,0.7604059167973164
XGBoost,SMOTETomek,0.3,0.8022878059940517,0.20526196416420958,0.5255516840882695,0.29522100799217094,0.7594906329355777
XGBoost,SMOTETomek,0.7,0.9288034774651109,0.7862068965517242,0.13240418118466898,0.22664015904572565,0.7594906329355777
XGBoost,SMOTETomek,0.5,0.9146190803019904,0.42857142857142855,0.2508710801393728,0.31648351648351647,0.7594906329355777
GradientBoosting,SMOTETomek,0.7,0.9282544040265386,0.808,0.1173054587688734,0.20486815415821502,0.7588836213627691
GradientBoosting,SMOTETomek,0.5,0.9205673758865248,0.4912718204488778,0.22880371660859466,0.312202852614897,0.7588836213627691
GradientBoosting,SMOTETomek,0.3,0.8399450926561428,0.23460848774656307,0.45586527293844364,0.30978689818468824,0.7588836213627691
GradientBoosting,SMOTE,0.3,0.8329444063143445,0.23066182630550125,0.4796747967479675,0.31152178012445786,0.7586095005957191
GradientBoosting,SMOTE,0.5,0.9204758636467627,0.4902439024390244,0.23344947735191637,0.3162863886703383,0.7586095005957191
GradientBoosting,SMOTE,0.7,0.9283001601464196,0.8189300411522634,0.11556329849012775,0.20254452926208652,0.7586095005957191
LightGBM,SMOTE,0.7,0.9286204529855868,0.8022388059701493,0.1248548199767712,0.21608040201005024,0.7581645933750778
